state,action,reward(average)
1|4|0|2|4,2,2.0
1|4|0|2|4,0,1.9939024390243902
1|1|1|0|4,0,2.2106598984771573
1|1|1|0|4,2,0.0
2|8|1|1|5,1,11.0
0|4|0|1|4,1,2.0
0|4|0|1|4,2,1.0
0|3|1|1|3,2,1.0
0|3|1|1|3,1,3.8703703703703702
2|3|1|1|2,1,3.0
0|7|2|2|5,2,12.0
0|7|2|2|5,1,0.0
2|1|2|1|5,1,2.2747603833865813
2|1|2|1|5,0,0.0
0|2|0|2|3,2,3.0
0|3|2|1|5,1,2.0
0|3|2|1|5,2,2.941580756013746
1|2|2|0|5,0,2.1543624161073827
1|2|2|0|5,2,2.6040268456375837
0|5|1|2|5,2,2.0
0|5|1|2|5,1,1.8333333333333333
1|2|2|2|3,2,4.0
1|3|1|2|5,2,2.2711864406779663
2|2|0|1|5,0,2.1017964071856285
2|2|0|1|5,1,2.0
2|4|1|1|1,0,0.5
1|3|0|2|5,2,2.2854442344045367
1|3|0|2|5,0,2.0
1|1|0|0|3,2,0.0
2|1|0|0|2,1,0.0
1|1|0|0|1,0,4.0
1|5|0|2|4,0,1.8
1|5|0|2|4,2,2.0
0|2|2|1|4,2,2.5407608695652173
0|2|2|1|4,1,2.0
2|2|2|1|3,0,0.0
2|2|2|1|3,1,3.0
0|2|2|1|2,2,0.0
0|2|2|1|2,1,3.0
2|2|2|1|1,0,0.0
1|4|0|2|5,0,1.9932432432432432
1|4|0|2|5,2,2.0
1|6|2|0|3,0,1.0
1|6|2|0|3,2,2.0
2|5|0|1|5,0,1.5
2|5|0|1|5,1,2.0
0|1|2|1|3,1,2.0
1|3|2|2|2,2,4.225
1|3|2|2|2,0,0.0
2|6|1|0|4,0,1.0
2|6|1|0|4,1,2.0
0|5|2|2|5,2,4.290115532734275
0|5|2|2|5,1,0.5
1|4|1|2|5,0,1.0
0|3|1|2|3,1,2.5673076923076925
2|1|0|1|5,0,0.0
2|1|0|1|5,1,2.4416775884665793
0|1|0|1|4,2,0.0
0|1|0|1|4,1,2.2
2|1|0|1|3,1,3.0
1|4|0|0|2,0,8.2
0|6|2|2|5,1,0.7152317880794702
0|6|2|2|5,2,4.490049751243781
0|2|0|1|4,2,0.7209302325581395
0|2|0|1|4,1,2.4849498327759196
2|3|0|1|3,0,1.448
2|1|0|1|4,0,0.0
2|1|0|1|4,1,2.25
0|1|0|1|3,2,0.0
0|1|0|1|3,1,2.0
2|1|0|1|2,0,0.0
2|1|0|1|2,1,2.5
0|1|0|1|1,1,2.0
2|2|2|0|5,0,2.0714285714285716
2|2|2|0|5,1,2.0
1|3|0|0|1,2,2.0
0|3|0|2|4,1,1.3035714285714286
0|3|0|2|4,2,2.1452991452991452
2|4|1|0|5,1,2.848780487804878
2|4|1|0|5,0,2.0
1|4|0|0|1,0,3.0
0|3|0|2|3,2,2.150943396226415
0|4|0|2|4,2,2.0
0|4|0|2|4,1,1.0
1|3|1|0|5,2,1.0
1|5|0|2|3,2,2.0
1|5|0|2|3,0,1.8
0|3|0|1|4,2,1.3027027027027027
0|3|0|1|4,1,2.1056603773584905
2|4|0|1|3,0,1.9166666666666667
2|4|0|1|3,1,2.0
1|8|0|0|5,2,0.0
1|8|0|0|5,0,11.0
0|6|0|1|5,1,1.0
1|6|2|0|4,2,2.0
1|6|2|0|4,0,1.0
1|5|0|2|5,2,2.0
1|3|0|0|2,2,0.0
1|3|0|0|2,0,2.0
2|3|0|0|1,0,4.0
1|3|2|0|4,2,2.622950819672131
2|3|2|1|4,0,1.0
0|4|2|1|3,2,2.83248730964467
0|4|2|1|3,1,2.0
1|4|2|2|2,0,1.0
1|4|2|2|2,2,4.661870503597123
0|4|2|2|1,2,3.0
0|6|2|1|4,2,2.0
0|6|2|1|4,1,1.0
1|2|1|2|3,2,3.0
0|3|0|1|2,2,0.0
0|3|0|1|2,1,3.0
2|3|0|1|1,0,0.0
0|3|0|1|5,1,2.0588235294117645
0|3|0|1|5,2,1.3333333333333333
1|2|2|0|4,0,2.0
0|6|2|1|3,2,2.0
0|6|2|1|3,1,1.0
0|8|2|2|5,1,0.0
0|8|2|2|5,2,11.0
0|4|0|1|5,1,2.0
1|7|2|2|5,2,12.0
0|4|0|1|2,2,1.0
2|5|0|1|1,0,2.0
0|3|0|2|5,1,1.1712962962962963
0|8|1|1|5,2,0.0
0|8|1|1|5,1,11.0
2|2|0|1|3,0,0.0
2|2|0|1|3,1,3.0
0|2|0|1|2,2,0.0
2|2|0|1|1,0,0.0
1|3|1|2|4,2,2.3854166666666665
2|7|1|1|5,0,0.0
2|7|1|1|5,1,12.0
2|3|2|1|3,1,2.0
0|4|0|2|3,2,2.0
1|8|2|2|5,0,0.0
1|8|2|2|5,2,11.0
1|4|1|2|3,2,2.0
0|3|2|2|3,1,0.6450381679389313
1|3|0|2|3,2,2.5555555555555554
2|3|2|1|5,1,2.0
2|2|2|0|4,0,2.060109289617486
2|2|2|0|4,1,2.0
0|4|0|1|3,2,1.0
2|5|0|1|2,1,2.0
0|4|0|2|5,1,1.0
2|6|1|0|5,0,1.0
1|3|1|0|4,0,2.0
1|3|2|0|3,2,4.0
2|3|2|0|4,0,2.0
2|3|2|0|4,1,1.0
1|3|1|2|2,2,3.0
1|6|2|0|5,0,1.0
2|1|1|0|4,0,2.3333333333333335
2|4|0|0|2,0,5.666666666666667
1|3|1|2|3,2,2.6
1|1|2|0|4,0,2.5
0|6|2|1|1,1,1.0
1|6|2|0|1,2,2.0
1|4|1|2|2,2,2.0
2|2|1|0|4,0,2.888888888888889
2|6|1|0|1,1,2.0
2|1|1|0|3,1,0.0
2|1|1|0|3,0,2.0
1|1|1|0|2,2,0.0
2|1|1|0|1,1,0.0
2|4|1|0|3,0,2.0
0|5|1|2|2,1,1.0
2|4|1|1|2,1,4.0
0|1|2|1|4,2,0.0
2|1|2|1|3,1,2.0
2|2|1|1|3,0,0.0
0|2|1|1|2,2,0.0
2|2|1|1|1,0,0.0
0|3|2|2|1,1,0.0
1|1|0|2|3,0,0.0
0|1|0|2|2,2,2.0
0|3|2|2|2,2,4.5
0|3|1|1|2,2,1.5
1|1|1|2|4,0,0.0
0|1|1|2|3,2,2.0
0|2|2|2|3,2,3.5
2|3|1|0|2,1,3.0
0|6|0|1|2,1,1.0
0|6|2|1|2,2,2.0
