state,action,q_value
4|3|0|0,0,3.2308565624349375
4|3|0|0,1,1.3421620981086708
4|3|0|0,3,2.1034237676442573
4|3|0|0,5,1.157113928253497
4|3|0|0,7,2.0941174556130817
4|3|0|0,2,1.574561837596761
4|3|0|0,6,1.224236490848384
0|6|4|4,6,0.6021807104118311
0|6|4|4,3,-1.9672930913304874
0|6|4|4,5,0.1364940468270574
0|6|4|4,4,1.26665587897918
0|6|4|4,7,-0.7089433426579591
0|6|4|4,1,-1.9513218689257823
0|6|4|4,2,-0.35753837239437525
6|7|4|4,4,3.8406506473965956
6|7|4|4,7,0.5636440353819853
6|7|4|4,5,0.15031343306222733
6|7|4|4,3,-2.0583367835215385
6|7|4|4,0,-1.2217145087066488
6|7|4|4,1,-1.379774440789984
6|7|4|4,2,-2.8243335099807574
0|1|0|5,2,2.165610744509965
0|1|0|5,1,1.9978325189214072
0|1|0|5,5,4.394752202273459
0|1|0|5,3,2.253649107419392
0|1|0|5,7,2.9079253966297247
0|1|0|5,4,2.282183672621395
0|1|0|5,6,3.109080052192776
2|1|0|5,6,3.232605612850461
2|1|0|5,3,1.6544566708752593
2|1|0|5,0,2.337693377766645
2|1|0|5,7,3.1650202394712186
2|1|0|5,4,2.2574164314444225
2|1|0|5,1,2.248174924002928
2|1|0|5,5,4.284221788697496
6|2|0|2,7,2.095390288731414
6|2|0|2,4,1.7942493330504863
6|2|0|2,3,1.8625037655678927
6|2|0|2,0,1.4238953359999218
6|2|0|2,5,1.4757767572760994
6|2|0|2,2,3.390159103034538
6|2|0|2,1,1.4842610345647562
7|2|0|2,6,2.3421145552816713
7|2|0|2,1,1.2261328014363546
7|2|0|2,2,3.4262663824566877
7|2|0|2,4,2.0977920248309525
7|2|0|2,5,1.5452471056642951
7|2|0|2,0,1.6118026888624588
7|2|0|2,3,1.955816383043039
4|3|0|5,1,0.27432906489137737
4|3|0|5,6,1.4158094499982994
4|3|0|5,2,-0.963710282740806
4|3|0|5,5,3.174677661953403
4|3|0|5,3,0.3684620844134009
4|3|0|5,7,1.1976321124850626
4|3|0|5,0,1.4181717221548402
1|3|0|5,7,1.0469307094993272
1|3|0|5,6,1.3735897294157742
1|3|0|5,4,0.4063237516982689
1|3|0|5,3,0.60648623028153
1|3|0|5,5,3.2884796132445397
1|3|0|5,2,0.1354239898706593
1|3|0|5,0,1.1547201188482992
2|2|6|3,0,1.986427663288261
2|2|6|3,5,2.0890451730835053
2|2|6|3,4,2.25862337181267
2|2|6|3,6,3.4745839847678033
2|2|6|3,1,2.237307451306361
2|2|6|3,3,4.322222323837098
2|2|6|3,7,2.5303667656950735
0|2|6|3,1,2.2836741442441113
0|2|6|3,6,3.2106270809350295
0|2|6|3,2,2.2443113883358032
0|2|6|3,3,4.160435001695183
0|2|6|3,5,2.2383579573553956
0|2|6|3,4,1.7886997521340142
0|2|6|3,7,2.675710168191593
1|2|6|3,2,2.045796461990119
1|2|6|3,3,4.230867173435168
