state,action,reward(average)
7|3|0|0,2,0.3559096945551129
7|3|0|0,4,0.25
7|3|0|0,1,0.5
7|3|0|0,3,0.3333333333333333
7|3|0|0,5,0.2
7|3|0|0,0,1.4558303886925794
7|3|0|0,6,0.0
2|3|0|0,6,0.35714285714285715
2|3|0|0,4,0.25
2|3|0|0,7,0.0
2|3|0|0,3,0.5
2|3|0|0,1,0.22099447513812154
2|3|0|0,0,1.5492537313432835
2|3|0|0,5,0.0
6|3|0|0,3,0.2
6|3|0|0,2,0.24444444444444444
6|3|0|0,5,0.0
6|3|0|0,0,1.5335820895522387
6|3|0|0,4,0.0
6|3|0|0,7,0.0
6|3|0|0,1,1.0
3|4|0|0,5,0.5
3|4|0|0,0,1.357201646090535
3|4|0|0,1,0.0
3|4|0|0,4,0.3333333333333333
3|4|0|0,7,0.0
2|1|6|3,4,0.0
2|1|6|3,3,1.1694915254237288
4|1|6|3,5,0.0
4|1|6|3,7,0.0
4|1|6|3,6,1.2521739130434784
5|1|6|3,3,1.1565656565656566
5|1|6|3,0,0.0
5|1|6|3,1,0.0
5|1|6|3,4,0.0
6|5|4|0,3,0.0
6|5|4|0,5,0.32142857142857145
3|5|4|0,7,0.20930232558139536
3|5|4|0,1,0.0
7|5|4|0,5,0.0
7|5|4|0,4,1.7727272727272727
7|5|4|0,3,0.0
7|5|4|0,1,0.0
1|2|3|3,2,0.0
1|2|3|3,0,0.0
1|2|3|3,7,0.0
1|2|3|3,4,0.3907407407407407
1|2|3|3,6,0.0
1|2|3|3,3,2.018575851393189
1|2|3|3,5,1.0
2|2|3|3,5,0.0
2|2|3|3,0,0.0
2|2|3|3,4,0.2857142857142857
2|2|3|3,3,2.0391937290033595
2|2|3|3,1,0.0
2|2|3|3,6,1.0
2|2|3|3,7,1.0
5|2|3|3,0,0.0
5|2|3|3,3,2.0590277777777777
5|2|3|3,4,0.0
5|2|3|3,7,0.0
5|2|3|3,1,0.0
3|5|4|4,1,0.0
3|5|4|4,0,0.0
3|5|4|4,2,0.5
3|5|4|4,7,0.6
3|5|4|4,5,0.46875
3|5|4|4,4,1.8565400843881856
3|5|4|4,6,1.0
4|1|1|1,5,0.5
4|1|1|1,7,0.2
4|1|1|1,3,0.0
4|1|1|1,1,1.7720504009163802
4|1|1|1,6,0.6666666666666666
4|1|1|1,0,0.0
4|1|1|1,2,0.0
5|1|1|1,7,0.0
5|1|1|1,4,0.6666666666666666
5|1|1|1,2,0.0
5|1|1|1,1,1.7908163265306123
5|1|1|1,6,0.0
5|1|1|1,3,0.0
5|1|1|1,0,0.0
7|2|3|4,0,0.0
7|2|3|4,4,1.7045454545454546
0|2|3|4,2,0.06306306306306306
0|2|3|4,1,0.0
2|3|3|4,3,0.0
2|3|3|4,1,0.0
2|3|3|4,5,0.3333333333333333
3|3|3|4,0,0.0
3|3|3|4,6,0.6052631578947368
0|3|3|4,2,0.0
0|3|3|4,6,0.0
0|3|3|4,7,0.38016528925619836
1|3|3|4,0,0.0
1|3|3|4,2,0.0
1|3|3|4,7,0.0
1|3|3|4,6,0.0
1|3|3|4,5,0.0
1|3|3|4,3,0.752
6|5|0|0,4,0.5
6|5|0|0,0,1.2388228636106395
6|5|0|0,7,0.2
6|5|0|0,5,0.25
6|5|0|0,2,0.4
6|5|0|0,3,0.2
6|5|0|0,1,0.0
4|5|0|0,0,1.2152336987882284
4|5|0|0,3,0.75
4|5|0|0,7,0.0
